epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749119686430,2025-06-05T13.34.46.430,0.000,85.549,-61.524,3.171
1749119686439,2025-06-05T13.34.46.439,0.009,85.061,-61.402,3.476
1749119686449,2025-06-05T13.34.46.449,0.019,83.232,-57.988,1.098
1749119686460,2025-06-05T13.34.46.460,0.030,80.915,-52.561,0.000
1749119686470,2025-06-05T13.34.46.470,0.040,78.659,-46.220,-0.183
1749119686479,2025-06-05T13.34.46.479,0.049,77.622,-38.293,-2.256
1749119686489,2025-06-05T13.34.46.489,0.059,78.354,-28.415,-6.341
1749119686499,2025-06-05T13.34.46.499,0.069,77.744,-19.939,-10.549
1749119686509,2025-06-05T13.34.46.509,0.079,74.024,-14.207,-13.049
1749119686518,2025-06-05T13.34.46.518,0.088,69.878,-10.854,-13.902
1749119686528,2025-06-05T13.34.46.528,0.098,66.829,-7.927,-12.195
1749119686539,2025-06-05T13.34.46.539,0.109,63.476,-3.780,-9.146
1749119686549,2025-06-05T13.34.46.549,0.119,59.695,1.341,-7.439
1749119686558,2025-06-05T13.34.46.558,0.128,55.000,5.122,-6.524
1749119686568,2025-06-05T13.34.46.568,0.138,48.963,6.098,-5.366
1749119686578,2025-06-05T13.34.46.578,0.148,42.866,4.817,-4.817
1749119686588,2025-06-05T13.34.46.588,0.158,37.622,1.585,-4.695
1749119686597,2025-06-05T13.34.46.597,0.167,32.622,-2.683,-4.390
1749119686608,2025-06-05T13.34.46.608,0.178,28.537,-7.134,-5.000
1749119686618,2025-06-05T13.34.46.618,0.188,25.183,-10.183,-6.159
1749119686628,2025-06-05T13.34.46.628,0.198,21.402,-12.195,-7.012
1749119686637,2025-06-05T13.34.46.637,0.207,17.561,-12.500,-7.561
1749119686647,2025-06-05T13.34.46.647,0.217,14.146,-11.341,-8.841
1749119686657,2025-06-05T13.34.46.657,0.227,9.939,-10.122,-10.305
1749119686668,2025-06-05T13.34.46.668,0.238,5.061,-7.866,-11.037
1749119686676,2025-06-05T13.34.46.676,0.246,0.793,-4.756,-10.549
1749119686687,2025-06-05T13.34.46.687,0.257,-2.683,-1.220,-10.366
1749119686697,2025-06-05T13.34.46.697,0.267,-4.817,2.195,-11.098
1749119686707,2025-06-05T13.34.46.707,0.277,-6.768,6.707,-12.988
1749119686716,2025-06-05T13.34.46.716,0.286,-10.183,10.183,-14.512
1749119686726,2025-06-05T13.34.46.726,0.296,-13.902,11.707,-14.878
1749119686736,2025-06-05T13.34.46.736,0.306,-16.707,13.354,-16.951
1749119686747,2025-06-05T13.34.46.747,0.317,-19.695,14.817,-19.329
1749119686755,2025-06-05T13.34.46.755,0.325,-23.415,15.000,-20.488
1749119686766,2025-06-05T13.34.46.766,0.336,-28.415,13.537,-21.280
1749119686776,2025-06-05T13.34.46.776,0.346,-34.451,10.915,-21.829
1749119686786,2025-06-05T13.34.46.786,0.356,-39.939,7.561,-21.463
1749119686795,2025-06-05T13.34.46.795,0.365,-44.512,4.756,-19.939
1749119686805,2025-06-05T13.34.46.805,0.375,-49.817,2.256,-16.951
1749119686816,2025-06-05T13.34.46.816,0.386,-55.061,0.549,-13.598
1749119686826,2025-06-05T13.34.46.826,0.396,-58.049,2.134,-10.915
1749119686835,2025-06-05T13.34.46.835,0.405,-60.000,8.720,-8.476
1749119686845,2025-06-05T13.34.46.845,0.415,-62.561,19.451,-7.439
1749119686855,2025-06-05T13.34.46.855,0.425,-66.829,31.829,-7.622
1749119686865,2025-06-05T13.34.46.865,0.435,-69.512,46.280,-9.451
1749119686874,2025-06-05T13.34.46.874,0.444,-69.451,63.415,-14.756
1749119686884,2025-06-05T13.34.46.884,0.454,-70.671,75.122,-23.354
1749119686895,2025-06-05T13.34.46.895,0.465,-71.951,72.317,-32.195
1749119686905,2025-06-05T13.34.46.905,0.475,-70.427,56.220,-38.720
1749119686914,2025-06-05T13.34.46.914,0.484,-66.585,38.049,-43.841
1749119686924,2025-06-05T13.34.46.924,0.494,-64.695,27.134,-46.585
1749119686934,2025-06-05T13.34.46.934,0.504,-68.171,25.366,-44.939
1749119686944,2025-06-05T13.34.46.944,0.514,-74.329,29.695,-42.439
1749119686953,2025-06-05T13.34.46.953,0.523,-81.098,34.939,-40.549
1749119686963,2025-06-05T13.34.46.963,0.533,-88.293,37.927,-37.744
1749119686974,2025-06-05T13.34.46.974,0.544,-95.854,40.122,-34.939
1749119686984,2025-06-05T13.34.46.984,0.554,-102.195,41.646,-31.524
1749119686993,2025-06-05T13.34.46.993,0.563,-106.585,39.817,-28.110
1749119687003,2025-06-05T13.34.47.003,0.573,-106.524,35.061,-25.915
1749119687013,2025-06-05T13.34.47.013,0.583,-101.463,30.366,-26.341
1749119687024,2025-06-05T13.34.47.024,0.594,-96.098,25.488,-29.512
1749119687032,2025-06-05T13.34.47.032,0.602,-96.037,17.073,-32.988
1749119687043,2025-06-05T13.34.47.043,0.613,-99.573,5.671,-34.390
1749119687053,2025-06-05T13.34.47.053,0.623,-100.061,-3.232,-34.878
1749119687063,2025-06-05T13.34.47.063,0.633,-97.744,-7.317,-34.634
1749119687072,2025-06-05T13.34.47.072,0.642,-94.756,-6.402,-33.354
1749119687082,2025-06-05T13.34.47.082,0.652,-90.122,-0.305,-32.866
1749119687092,2025-06-05T13.34.47.092,0.662,-84.451,7.195,-32.744
1749119687103,2025-06-05T13.34.47.103,0.673,-80.915,13.902,-31.646
1749119687111,2025-06-05T13.34.47.111,0.681,-78.963,20.000,-31.646
1749119687122,2025-06-05T13.34.47.122,0.692,-77.622,25.000,-34.695
1749119687132,2025-06-05T13.34.47.132,0.702,-78.902,26.707,-37.439
1749119687142,2025-06-05T13.34.47.142,0.712,-83.841,23.720,-37.500
1749119687151,2025-06-05T13.34.47.151,0.721,-91.037,12.561,-34.451
1749119687161,2025-06-05T13.34.47.161,0.731,-97.744,-11.341,-26.402
1749119687171,2025-06-05T13.34.47.171,0.741,-102.683,-40.976,-16.951
1749119687182,2025-06-05T13.34.47.182,0.752,-104.207,-63.476,-9.390
1749119687191,2025-06-05T13.34.47.191,0.761,-102.439,-70.976,-4.146
1749119687201,2025-06-05T13.34.47.201,0.771,-100.183,-64.573,-1.951
1749119687211,2025-06-05T13.34.47.211,0.781,-95.793,-48.720,-2.561
1749119687221,2025-06-05T13.34.47.221,0.791,-88.720,-28.720,-3.232
1749119687230,2025-06-05T13.34.47.230,0.800,-80.305,-7.866,-2.683
1749119687240,2025-06-05T13.34.47.240,0.810,-72.378,13.110,-3.780
1749119687251,2025-06-05T13.34.47.251,0.821,-64.146,31.646,-6.890
1749119687261,2025-06-05T13.34.47.261,0.831,-55.122,43.902,-9.085
1749119687270,2025-06-05T13.34.47.270,0.840,-44.512,51.220,-9.268
1749119687280,2025-06-05T13.34.47.280,0.850,-33.049,54.817,-10.183
1749119687290,2025-06-05T13.34.47.290,0.860,-21.220,55.244,-12.256
1749119687300,2025-06-05T13.34.47.300,0.870,-10.427,53.232,-13.293
1749119687309,2025-06-05T13.34.47.309,0.879,-1.220,47.439,-13.354
1749119687319,2025-06-05T13.34.47.319,0.889,6.829,37.500,-11.951
1749119687330,2025-06-05T13.34.47.330,0.900,14.024,24.207,-9.573
1749119687340,2025-06-05T13.34.47.340,0.910,21.098,10.549,-6.890
1749119687349,2025-06-05T13.34.47.349,0.919,27.561,-2.134,-3.354
1749119687359,2025-06-05T13.34.47.359,0.929,32.805,-12.683,0.854
1749119687369,2025-06-05T13.34.47.369,0.939,38.841,-19.024,4.329
1749119687379,2025-06-05T13.34.47.379,0.949,46.037,-21.341,6.159
1749119687388,2025-06-05T13.34.47.388,0.958,53.415,-19.207,7.195
1749119687399,2025-06-05T13.34.47.399,0.969,60.549,-14.024,8.049
1749119687409,2025-06-05T13.34.47.409,0.979,67.134,-8.537,8.780
1749119687419,2025-06-05T13.34.47.419,0.989,73.720,-4.634,9.573
1749119687428,2025-06-05T13.34.47.428,0.998,80.183,-2.500,11.037
1749119687438,2025-06-05T13.34.47.438,1.008,85.549,-1.585,12.439
1749119687448,2025-06-05T13.34.47.448,1.018,89.939,-2.317,13.293
1749119687459,2025-06-05T13.34.47.459,1.029,94.024,-4.573,14.024
1749119687467,2025-06-05T13.34.47.467,1.037,97.561,-7.927,14.878
1749119687478,2025-06-05T13.34.47.478,1.048,99.390,-12.439,16.098
1749119687488,2025-06-05T13.34.47.488,1.058,100.183,-16.768,16.829
1749119687498,2025-06-05T13.34.47.498,1.068,101.037,-19.695,17.561
1749119687507,2025-06-05T13.34.47.507,1.077,102.012,-20.854,17.500
1749119687517,2025-06-05T13.34.47.517,1.087,102.073,-22.927,17.561
1749119687527,2025-06-05T13.34.47.527,1.097,101.585,-27.744,19.024
1749119687538,2025-06-05T13.34.47.538,1.108,101.098,-34.207,21.829
1749119687546,2025-06-05T13.34.47.546,1.116,100.122,-41.402,26.890
1749119687557,2025-06-05T13.34.47.557,1.127,97.378,-50.976,33.598
1749119687567,2025-06-05T13.34.47.567,1.137,96.220,-60.610,36.585
1749119687577,2025-06-05T13.34.47.577,1.147,96.646,-62.805,37.073
1749119687586,2025-06-05T13.34.47.586,1.156,96.524,-49.634,38.171
1749119687596,2025-06-05T13.34.47.596,1.166,96.829,-18.598,39.939
1749119687607,2025-06-05T13.34.47.607,1.177,96.707,18.354,33.841
1749119687617,2025-06-05T13.34.47.617,1.187,95.610,40.427,20.244
1749119687626,2025-06-05T13.34.47.626,1.196,93.780,40.793,10.488
1749119687636,2025-06-05T13.34.47.636,1.206,90.488,30.854,6.037
1749119687646,2025-06-05T13.34.47.646,1.216,84.634,19.817,4.146
1749119687656,2025-06-05T13.34.47.656,1.226,75.793,11.707,5.854
1749119687665,2025-06-05T13.34.47.665,1.235,64.817,4.573,9.024
1749119687675,2025-06-05T13.34.47.675,1.245,54.451,-2.439,9.573
1749119687686,2025-06-05T13.34.47.686,1.256,45.122,-7.561,8.415
