epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749646038361,2025-06-11T15.47.18.361,0.000,-77.378,-17.439,-48.354
1749646038370,2025-06-11T15.47.18.370,0.009,-77.866,-17.317,-48.598
1749646038380,2025-06-11T15.47.18.380,0.019,-82.805,-17.317,-48.598
1749646038391,2025-06-11T15.47.18.391,0.030,-88.841,-17.012,-49.573
1749646038401,2025-06-11T15.47.18.401,0.040,-91.341,-16.585,-51.829
1749646038410,2025-06-11T15.47.18.410,0.049,-90.732,-16.098,-54.390
1749646038420,2025-06-11T15.47.18.420,0.059,-90.122,-16.098,-56.768
1749646038430,2025-06-11T15.47.18.430,0.069,-90.183,-15.732,-59.146
1749646038441,2025-06-11T15.47.18.441,0.080,-90.732,-14.329,-61.037
1749646038449,2025-06-11T15.47.18.449,0.088,-90.366,-9.817,-62.256
1749646038460,2025-06-11T15.47.18.460,0.099,-86.768,-1.829,-62.988
1749646038470,2025-06-11T15.47.18.470,0.109,-81.159,6.341,-63.293
1749646038480,2025-06-11T15.47.18.480,0.119,-77.195,12.439,-62.561
1749646038489,2025-06-11T15.47.18.489,0.128,-75.854,15.671,-61.037
1749646038499,2025-06-11T15.47.18.499,0.138,-75.610,17.561,-59.146
1749646038509,2025-06-11T15.47.18.509,0.148,-76.585,18.354,-57.500
1749646038520,2025-06-11T15.47.18.520,0.159,-78.963,17.195,-56.280
1749646038528,2025-06-11T15.47.18.528,0.167,-83.110,13.293,-55.000
1749646038539,2025-06-11T15.47.18.539,0.178,-87.866,7.195,-53.537
1749646038549,2025-06-11T15.47.18.549,0.188,-92.439,-0.915,-52.317
1749646038559,2025-06-11T15.47.18.559,0.198,-96.524,-10.000,-52.256
1749646038568,2025-06-11T15.47.18.568,0.207,-102.012,-19.024,-52.683
1749646038578,2025-06-11T15.47.18.578,0.217,-109.207,-25.915,-51.890
1749646038588,2025-06-11T15.47.18.588,0.227,-114.146,-28.049,-51.159
1749646038599,2025-06-11T15.47.18.599,0.238,-116.280,-24.695,-52.500
1749646038608,2025-06-11T15.47.18.608,0.247,-117.866,-17.744,-54.146
1749646038618,2025-06-11T15.47.18.618,0.257,-119.024,-6.646,-53.902
1749646038628,2025-06-11T15.47.18.628,0.267,-117.073,6.951,-54.329
1749646038638,2025-06-11T15.47.18.638,0.277,-112.256,19.512,-56.159
1749646038647,2025-06-11T15.47.18.647,0.286,-107.500,28.537,-57.134
1749646038657,2025-06-11T15.47.18.657,0.296,-104.878,31.463,-56.585
1749646038668,2025-06-11T15.47.18.668,0.307,-103.415,30.305,-51.951
1749646038678,2025-06-11T15.47.18.678,0.317,-101.768,25.244,-45.549
1749646038687,2025-06-11T15.47.18.687,0.326,-97.744,17.927,-42.988
1749646038697,2025-06-11T15.47.18.697,0.336,-88.232,11.829,-43.476
1749646038707,2025-06-11T15.47.18.707,0.346,-75.305,5.976,-43.902
1749646038717,2025-06-11T15.47.18.717,0.356,-62.317,-1.098,-41.890
1749646038726,2025-06-11T15.47.18.726,0.365,-50.854,-10.915,-37.439
1749646038736,2025-06-11T15.47.18.736,0.375,-40.366,-20.549,-33.354
1749646038747,2025-06-11T15.47.18.747,0.386,-28.476,-29.024,-30.305
1749646038757,2025-06-11T15.47.18.757,0.396,-16.707,-34.756,-25.915
1749646038766,2025-06-11T15.47.18.766,0.405,-7.805,-34.878,-19.573
1749646038776,2025-06-11T15.47.18.776,0.415,0.976,-27.561,-11.890
1749646038786,2025-06-11T15.47.18.786,0.425,11.280,-16.829,-3.537
1749646038797,2025-06-11T15.47.18.797,0.436,21.037,-7.317,5.000
1749646038805,2025-06-11T15.47.18.805,0.444,28.780,-2.256,12.805
1749646038816,2025-06-11T15.47.18.816,0.455,35.000,-3.537,20.244
1749646038826,2025-06-11T15.47.18.826,0.465,41.159,-10.427,27.134
1749646038836,2025-06-11T15.47.18.836,0.475,46.707,-18.963,32.927
1749646038845,2025-06-11T15.47.18.845,0.484,51.585,-25.854,38.659
1749646038855,2025-06-11T15.47.18.855,0.494,55.610,-28.354,44.451
1749646038865,2025-06-11T15.47.18.865,0.504,59.634,-27.195,50.183
1749646038876,2025-06-11T15.47.18.876,0.515,65.000,-24.207,55.976
1749646038884,2025-06-11T15.47.18.884,0.523,72.073,-22.622,60.122
1749646038895,2025-06-11T15.47.18.895,0.534,80.122,-26.402,63.110
1749646038905,2025-06-11T15.47.18.905,0.544,86.463,-34.939,65.915
1749646038915,2025-06-11T15.47.18.915,0.554,89.817,-44.329,68.171
1749646038924,2025-06-11T15.47.18.924,0.563,92.988,-52.134,69.695
1749646038934,2025-06-11T15.47.18.934,0.573,96.829,-59.451,71.524
1749646038944,2025-06-11T15.47.18.944,0.583,99.329,-67.317,73.232
1749646038955,2025-06-11T15.47.18.955,0.594,98.902,-75.549,74.146
1749646038963,2025-06-11T15.47.18.963,0.602,96.037,-82.073,74.878
1749646038974,2025-06-11T15.47.18.974,0.613,93.354,-85.122,76.646
1749646038984,2025-06-11T15.47.18.984,0.623,91.159,-85.976,79.573
1749646038994,2025-06-11T15.47.18.994,0.633,89.268,-86.890,81.037
1749646039003,2025-06-11T15.47.19.003,0.642,87.561,-88.293,80.610
1749646039013,2025-06-11T15.47.19.013,0.652,85.732,-88.293,79.451
1749646039024,2025-06-11T15.47.19.024,0.663,82.866,-86.159,77.683
1749646039034,2025-06-11T15.47.19.034,0.673,78.720,-84.329,75.061
1749646039043,2025-06-11T15.47.19.043,0.682,74.695,-84.939,72.439
1749646039053,2025-06-11T15.47.19.053,0.692,69.878,-88.476,69.939
1749646039063,2025-06-11T15.47.19.063,0.702,65.183,-92.500,67.683
1749646039073,2025-06-11T15.47.19.073,0.712,62.622,-93.415,64.634
1749646039082,2025-06-11T15.47.19.082,0.721,62.988,-88.841,59.695
1749646039092,2025-06-11T15.47.19.092,0.731,63.598,-83.902,52.927
1749646039103,2025-06-11T15.47.19.103,0.742,63.232,-81.159,46.341
1749646039113,2025-06-11T15.47.19.113,0.752,64.207,-79.085,39.390
1749646039122,2025-06-11T15.47.19.122,0.761,66.220,-75.244,31.280
1749646039132,2025-06-11T15.47.19.132,0.771,68.415,-70.732,22.134
1749646039142,2025-06-11T15.47.19.142,0.781,71.646,-64.634,13.232
1749646039152,2025-06-11T15.47.19.152,0.791,76.159,-58.049,4.878
1749646039161,2025-06-11T15.47.19.161,0.800,80.305,-52.195,-3.598
1749646039172,2025-06-11T15.47.19.172,0.811,83.902,-45.915,-10.976
1749646039182,2025-06-11T15.47.19.182,0.821,87.866,-36.280,-17.134
1749646039192,2025-06-11T15.47.19.192,0.831,91.829,-23.415,-23.354
1749646039201,2025-06-11T15.47.19.201,0.840,95.488,-9.512,-28.963
1749646039211,2025-06-11T15.47.19.211,0.850,97.866,1.037,-33.293
1749646039221,2025-06-11T15.47.19.221,0.860,98.476,7.866,-35.854
1749646039232,2025-06-11T15.47.19.232,0.871,98.476,11.768,-38.720
1749646039240,2025-06-11T15.47.19.240,0.879,98.537,13.293,-41.585
1749646039251,2025-06-11T15.47.19.251,0.890,98.232,13.780,-42.927
1749646039261,2025-06-11T15.47.19.261,0.900,95.549,14.512,-43.537
1749646039271,2025-06-11T15.47.19.271,0.910,91.402,13.720,-44.085
1749646039280,2025-06-11T15.47.19.280,0.919,87.134,9.695,-43.841
1749646039290,2025-06-11T15.47.19.290,0.929,81.768,3.537,-43.902
1749646039300,2025-06-11T15.47.19.300,0.939,76.463,0.183,-45.305
1749646039311,2025-06-11T15.47.19.311,0.950,72.561,-0.488,-47.012
1749646039319,2025-06-11T15.47.19.319,0.958,68.963,-1.220,-48.354
1749646039330,2025-06-11T15.47.19.330,0.969,65.000,-3.598,-49.024
1749646039340,2025-06-11T15.47.19.340,0.979,60.976,-7.683,-48.841
1749646039350,2025-06-11T15.47.19.350,0.989,57.073,-13.476,-49.207
1749646039359,2025-06-11T15.47.19.359,0.998,53.537,-18.354,-49.512
1749646039369,2025-06-11T15.47.19.369,1.008,50.366,-21.159,-49.512
1749646039380,2025-06-11T15.47.19.380,1.019,48.110,-22.134,-48.963
1749646039390,2025-06-11T15.47.19.390,1.029,46.524,-24.207,-48.232
1749646039399,2025-06-11T15.47.19.399,1.038,44.146,-26.037,-49.024
1749646039409,2025-06-11T15.47.19.409,1.048,42.134,-25.976,-51.524
1749646039419,2025-06-11T15.47.19.419,1.058,41.220,-24.634,-54.573
1749646039429,2025-06-11T15.47.19.429,1.068,41.159,-20.854,-57.500
1749646039438,2025-06-11T15.47.19.438,1.077,41.829,-14.268,-60.488
1749646039448,2025-06-11T15.47.19.448,1.087,42.378,-7.134,-63.232
1749646039459,2025-06-11T15.47.19.459,1.098,42.988,-1.280,-65.488
1749646039469,2025-06-11T15.47.19.469,1.108,42.378,2.805,-67.378
1749646039478,2025-06-11T15.47.19.478,1.117,41.037,5.793,-68.110
1749646039488,2025-06-11T15.47.19.488,1.127,40.244,9.085,-68.720
1749646039498,2025-06-11T15.47.19.498,1.137,40.000,11.768,-69.756
1749646039508,2025-06-11T15.47.19.508,1.147,39.268,12.866,-70.976
1749646039517,2025-06-11T15.47.19.517,1.156,37.744,14.451,-72.744
1749646039527,2025-06-11T15.47.19.527,1.166,35.793,18.598,-74.573
1749646039538,2025-06-11T15.47.19.538,1.177,34.085,29.024,-75.366
1749646039548,2025-06-11T15.47.19.548,1.187,33.171,47.683,-77.134
1749646039557,2025-06-11T15.47.19.557,1.196,33.902,75.000,-79.756
1749646039567,2025-06-11T15.47.19.567,1.206,39.085,112.317,-82.683
1749646039577,2025-06-11T15.47.19.577,1.216,50.488,151.463,-88.659
1749646039588,2025-06-11T15.47.19.588,1.227,60.915,179.512,-92.134
1749646039596,2025-06-11T15.47.19.596,1.235,60.671,183.902,-88.476
1749646039607,2025-06-11T15.47.19.607,1.246,48.415,159.756,-80.122
1749646039617,2025-06-11T15.47.19.617,1.256,30.610,118.537,-70.183
1749646039627,2025-06-11T15.47.19.627,1.266,15.061,73.415,-62.378
1749646039636,2025-06-11T15.47.19.636,1.275,3.415,37.622,-58.841
1749646039646,2025-06-11T15.47.19.646,1.285,-4.634,14.390,-55.244
1749646039656,2025-06-11T15.47.19.656,1.295,-11.524,0.976,-50.488
1749646039667,2025-06-11T15.47.19.667,1.306,-18.171,-5.488,-46.341
1749646039675,2025-06-11T15.47.19.675,1.314,-23.780,-7.500,-45.671
1749646039686,2025-06-11T15.47.19.686,1.325,-28.598,-7.805,-46.098
1749646039696,2025-06-11T15.47.19.696,1.335,-35.915,-8.171,-43.598
1749646039706,2025-06-11T15.47.19.706,1.345,-45.671,-8.537,-42.073
1749646039715,2025-06-11T15.47.19.715,1.354,-55.488,-6.646,-43.171
1749646039725,2025-06-11T15.47.19.725,1.364,-62.927,-1.280,-44.207
1749646039735,2025-06-11T15.47.19.735,1.374,-70.305,7.744,-43.841
1749646039746,2025-06-11T15.47.19.746,1.385,-78.354,19.268,-42.561
1749646039755,2025-06-11T15.47.19.755,1.394,-84.756,29.207,-42.317
1749646039765,2025-06-11T15.47.19.765,1.404,-90.305,36.890,-42.195
1749646039775,2025-06-11T15.47.19.775,1.414,-96.768,42.561,-41.159
1749646039785,2025-06-11T15.47.19.785,1.424,-105.793,45.061,-37.988
1749646039794,2025-06-11T15.47.19.794,1.433,-117.073,45.000,-30.976
1749646039804,2025-06-11T15.47.19.804,1.443,-129.451,38.049,-21.463
1749646039815,2025-06-11T15.47.19.815,1.454,-141.280,22.683,-11.280
1749646039825,2025-06-11T15.47.19.825,1.464,-150.122,1.037,-3.963
1749646039834,2025-06-11T15.47.19.834,1.473,-158.232,-24.634,-0.427
1749646039844,2025-06-11T15.47.19.844,1.483,-169.634,-48.720,7.256
1749646039854,2025-06-11T15.47.19.854,1.493,-183.415,-65.000,20.488
1749646039864,2025-06-11T15.47.19.864,1.503,-194.207,-70.732,31.829
1749646039873,2025-06-11T15.47.19.873,1.512,-195.976,-66.037,36.646
1749646039883,2025-06-11T15.47.19.883,1.522,-191.098,-52.012,35.366
1749646039894,2025-06-11T15.47.19.894,1.533,-183.963,-27.622,33.049
1749646039904,2025-06-11T15.47.19.904,1.543,-176.402,5.183,33.598
1749646039913,2025-06-11T15.47.19.913,1.552,-169.085,38.902,36.463
1749646039923,2025-06-11T15.47.19.923,1.562,-162.378,62.195,38.598
1749646039933,2025-06-11T15.47.19.933,1.572,-156.037,73.537,38.598
1749646039943,2025-06-11T15.47.19.943,1.582,-150.671,74.085,38.902
1749646039952,2025-06-11T15.47.19.952,1.591,-147.195,67.500,41.585
1749646039963,2025-06-11T15.47.19.963,1.602,-144.146,58.476,44.939
1749646039973,2025-06-11T15.47.19.973,1.612,-140.244,50.061,46.037
1749646039983,2025-06-11T15.47.19.983,1.622,-132.622,43.537,43.232
1749646039992,2025-06-11T15.47.19.992,1.631,-120.854,37.500,37.012
1749646040002,2025-06-11T15.47.20.002,1.641,-108.780,33.232,29.817
1749646040012,2025-06-11T15.47.20.012,1.651,-98.049,33.476,24.207
1749646040023,2025-06-11T15.47.20.023,1.662,-89.207,35.915,20.061
1749646040031,2025-06-11T15.47.20.031,1.670,-82.378,36.829,16.037
1749646040042,2025-06-11T15.47.20.042,1.681,-77.378,35.061,11.463
