epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749800380188,2025-06-13T10.39.40.188,0.000,83.963,-90.244,107.561
1749800380199,2025-06-13T10.39.40.199,0.011,83.841,-85.366,107.561
1749800380207,2025-06-13T10.39.40.207,0.019,82.805,-65.915,108.841
1749800380218,2025-06-13T10.39.40.218,0.030,82.683,-50.854,110.488
1749800380228,2025-06-13T10.39.40.228,0.040,82.134,-47.195,111.159
1749800380238,2025-06-13T10.39.40.238,0.050,78.720,-52.988,110.549
1749800380247,2025-06-13T10.39.40.247,0.059,72.744,-62.317,111.463
1749800380257,2025-06-13T10.39.40.257,0.069,66.463,-69.390,107.927
1749800380267,2025-06-13T10.39.40.267,0.079,62.744,-77.134,100.610
1749800380278,2025-06-13T10.39.40.278,0.090,59.451,-84.451,92.622
1749800380287,2025-06-13T10.39.40.287,0.099,54.634,-89.085,82.744
1749800380297,2025-06-13T10.39.40.297,0.109,50.366,-90.488,71.463
1749800380307,2025-06-13T10.39.40.307,0.119,47.500,-89.268,62.622
1749800380317,2025-06-13T10.39.40.317,0.129,44.451,-83.476,56.463
1749800380326,2025-06-13T10.39.40.326,0.138,39.634,-77.195,47.744
1749800380336,2025-06-13T10.39.40.336,0.148,31.280,-72.866,36.220
1749800380347,2025-06-13T10.39.40.347,0.159,24.878,-72.683,26.220
1749800380357,2025-06-13T10.39.40.357,0.169,21.280,-77.256,20.183
1749800380366,2025-06-13T10.39.40.366,0.178,20.732,-82.500,15.671
1749800380376,2025-06-13T10.39.40.376,0.188,20.061,-85.122,11.707
1749800380386,2025-06-13T10.39.40.386,0.198,17.073,-83.354,8.476
1749800380396,2025-06-13T10.39.40.396,0.208,13.720,-74.024,4.573
1749800380405,2025-06-13T10.39.40.405,0.217,13.171,-62.378,-0.366
1749800380415,2025-06-13T10.39.40.415,0.227,14.024,-55.000,-5.427
1749800380426,2025-06-13T10.39.40.426,0.238,13.963,-49.451,-8.902
1749800380436,2025-06-13T10.39.40.436,0.248,11.463,-44.329,-11.951
1749800380445,2025-06-13T10.39.40.445,0.257,10.610,-39.451,-15.854
1749800380455,2025-06-13T10.39.40.455,0.267,11.707,-35.915,-19.207
1749800380465,2025-06-13T10.39.40.465,0.277,11.768,-33.780,-21.890
1749800380475,2025-06-13T10.39.40.475,0.287,9.756,-33.659,-17.744
1749800380484,2025-06-13T10.39.40.484,0.296,9.268,-30.061,-12.500
1749800380495,2025-06-13T10.39.40.495,0.307,10.915,-21.280,-12.317
1749800380505,2025-06-13T10.39.40.505,0.317,10.488,-14.207,-11.646
1749800380515,2025-06-13T10.39.40.515,0.327,9.024,-13.780,-11.098
1749800380524,2025-06-13T10.39.40.524,0.336,6.280,-15.793,-10.183
1749800380534,2025-06-13T10.39.40.534,0.346,2.500,-15.366,-12.866
1749800380544,2025-06-13T10.39.40.544,0.356,-1.159,-16.098,-17.134
1749800380555,2025-06-13T10.39.40.555,0.367,-2.744,-17.805,-15.915
1749800380563,2025-06-13T10.39.40.563,0.375,-2.927,-18.171,-16.829
1749800380574,2025-06-13T10.39.40.574,0.386,-4.451,-13.841,-20.061
1749800380584,2025-06-13T10.39.40.584,0.396,-5.732,-8.963,-23.049
1749800380594,2025-06-13T10.39.40.594,0.406,-4.695,-3.902,-23.598
1749800380603,2025-06-13T10.39.40.603,0.415,-3.476,1.220,-24.878
1749800380613,2025-06-13T10.39.40.613,0.425,-4.878,5.061,-28.354
1749800380623,2025-06-13T10.39.40.623,0.435,-8.537,5.183,-31.037
1749800380634,2025-06-13T10.39.40.634,0.446,-12.317,4.939,-35.305
1749800380642,2025-06-13T10.39.40.642,0.454,-14.024,4.024,-39.634
1749800380653,2025-06-13T10.39.40.653,0.465,-15.366,2.256,-37.317
1749800380663,2025-06-13T10.39.40.663,0.475,-17.622,2.561,-36.037
1749800380673,2025-06-13T10.39.40.673,0.485,-20.305,4.451,-36.646
1749800380682,2025-06-13T10.39.40.682,0.494,-23.049,6.707,-39.390
1749800380692,2025-06-13T10.39.40.692,0.504,-25.549,6.585,-42.805
1749800380703,2025-06-13T10.39.40.703,0.515,-27.256,4.390,-41.585
1749800380713,2025-06-13T10.39.40.713,0.525,-27.927,3.171,-38.841
1749800380722,2025-06-13T10.39.40.722,0.534,-27.561,5.610,-40.793
1749800380732,2025-06-13T10.39.40.732,0.544,-27.866,11.768,-44.939
1749800380742,2025-06-13T10.39.40.742,0.554,-28.720,18.963,-46.951
1749800380752,2025-06-13T10.39.40.752,0.564,-29.573,25.976,-47.988
1749800380761,2025-06-13T10.39.40.761,0.573,-31.341,33.598,-49.451
1749800380771,2025-06-13T10.39.40.771,0.583,-34.573,40.366,-51.951
1749800380782,2025-06-13T10.39.40.782,0.594,-36.280,45.915,-50.427
1749800380792,2025-06-13T10.39.40.792,0.604,-35.976,49.695,-43.537
1749800380801,2025-06-13T10.39.40.801,0.613,-34.390,54.695,-32.439
1749800380811,2025-06-13T10.39.40.811,0.623,-33.537,61.280,-23.110
1749800380821,2025-06-13T10.39.40.821,0.633,-34.634,62.622,-17.012
1749800380831,2025-06-13T10.39.40.831,0.643,-35.732,60.000,-11.585
1749800380840,2025-06-13T10.39.40.840,0.652,-33.354,54.695,-18.841
1749800380850,2025-06-13T10.39.40.850,0.662,-28.841,46.768,-37.683
1749800380861,2025-06-13T10.39.40.861,0.673,-25.061,40.244,-53.354
1749800380871,2025-06-13T10.39.40.871,0.683,-24.024,44.939,-60.122
1749800380880,2025-06-13T10.39.40.880,0.692,-25.183,59.207,-66.463
1749800380890,2025-06-13T10.39.40.890,0.702,-23.963,76.159,-72.073
1749800380900,2025-06-13T10.39.40.900,0.712,-19.756,84.878,-74.024
1749800380911,2025-06-13T10.39.40.911,0.723,-15.305,85.793,-71.463
1749800380919,2025-06-13T10.39.40.919,0.731,-13.537,84.085,-71.098
1749800380930,2025-06-13T10.39.40.930,0.742,-15.122,81.890,-71.341
1749800380940,2025-06-13T10.39.40.940,0.752,-19.756,78.598,-71.768
1749800380950,2025-06-13T10.39.40.950,0.762,-25.183,74.207,-72.500
1749800380959,2025-06-13T10.39.40.959,0.771,-30.000,67.927,-72.622
1749800380969,2025-06-13T10.39.40.969,0.781,-32.317,59.146,-73.415
1749800380979,2025-06-13T10.39.40.979,0.791,-32.622,47.683,-74.695
1749800380990,2025-06-13T10.39.40.990,0.802,-32.927,35.549,-73.780
1749800380998,2025-06-13T10.39.40.998,0.810,-35.976,25.854,-73.476
1749800381009,2025-06-13T10.39.41.009,0.821,-40.671,19.878,-73.902
1749800381019,2025-06-13T10.39.41.019,0.831,-45.366,19.268,-75.976
1749800381029,2025-06-13T10.39.41.029,0.841,-50.000,22.927,-79.939
1749800381038,2025-06-13T10.39.41.038,0.850,-52.805,28.049,-83.537
1749800381048,2025-06-13T10.39.41.048,0.860,-53.049,31.037,-85.122
1749800381058,2025-06-13T10.39.41.058,0.870,-50.183,31.220,-82.927
1749800381069,2025-06-13T10.39.41.069,0.881,-47.012,29.756,-78.049
1749800381078,2025-06-13T10.39.41.078,0.890,-47.317,29.329,-72.378
1749800381088,2025-06-13T10.39.41.088,0.900,-51.768,28.232,-63.293
1749800381098,2025-06-13T10.39.41.098,0.910,-56.341,25.122,-51.829
1749800381108,2025-06-13T10.39.41.108,0.920,-55.854,17.866,-43.293
1749800381117,2025-06-13T10.39.41.117,0.929,-49.451,2.256,-34.329
1749800381127,2025-06-13T10.39.41.127,0.939,-42.256,-16.829,-22.378
1749800381138,2025-06-13T10.39.41.138,0.950,-35.915,-30.610,-11.890
1749800381148,2025-06-13T10.39.41.148,0.960,-32.683,-34.268,-3.415
1749800381157,2025-06-13T10.39.41.157,0.969,-30.671,-30.061,0.793
1749800381167,2025-06-13T10.39.41.167,0.979,-26.829,-26.890,0.915
1749800381177,2025-06-13T10.39.41.177,0.989,-21.341,-28.537,-0.244
1749800381187,2025-06-13T10.39.41.187,0.999,-14.085,-29.573,-0.427
1749800381196,2025-06-13T10.39.41.196,1.008,-7.134,-26.951,0.183
1749800381206,2025-06-13T10.39.41.206,1.018,-2.073,-21.341,1.159
1749800381217,2025-06-13T10.39.41.217,1.029,0.305,-14.451,-0.854
1749800381227,2025-06-13T10.39.41.227,1.039,2.866,-9.268,-2.256
1749800381236,2025-06-13T10.39.41.236,1.048,5.549,-2.012,-2.012
1749800381246,2025-06-13T10.39.41.246,1.058,8.902,6.220,-3.598
1749800381256,2025-06-13T10.39.41.256,1.068,11.402,11.463,-5.305
1749800381266,2025-06-13T10.39.41.266,1.078,12.866,14.512,-6.220
1749800381275,2025-06-13T10.39.41.275,1.087,12.744,15.000,-5.610
1749800381286,2025-06-13T10.39.41.286,1.098,12.012,12.683,-5.610
1749800381296,2025-06-13T10.39.41.296,1.108,9.817,8.659,-3.415
1749800381306,2025-06-13T10.39.41.306,1.118,6.646,4.634,-0.915
1749800381315,2025-06-13T10.39.41.315,1.127,2.805,1.768,1.402
1749800381325,2025-06-13T10.39.41.325,1.137,-0.854,-0.732,2.988
1749800381335,2025-06-13T10.39.41.335,1.147,-3.049,-1.951,4.146
1749800381346,2025-06-13T10.39.41.346,1.158,-3.476,-1.524,4.268
1749800381354,2025-06-13T10.39.41.354,1.166,-5.305,-0.183,3.963
1749800381365,2025-06-13T10.39.41.365,1.177,-5.915,2.683,2.805
1749800381375,2025-06-13T10.39.41.375,1.187,-5.488,4.573,1.829
1749800381385,2025-06-13T10.39.41.385,1.197,-5.976,5.244,2.805
1749800381394,2025-06-13T10.39.41.394,1.206,-7.439,6.768,2.683
1749800381404,2025-06-13T10.39.41.404,1.216,-9.390,8.841,1.098
1749800381414,2025-06-13T10.39.41.414,1.226,-11.951,10.854,0.183
1749800381425,2025-06-13T10.39.41.425,1.237,-14.512,13.293,-0.732
1749800381433,2025-06-13T10.39.41.433,1.245,-17.683,16.951,-1.890
1749800381444,2025-06-13T10.39.41.444,1.256,-21.463,21.646,-2.256
1749800381454,2025-06-13T10.39.41.454,1.266,-25.976,25.854,-2.012
1749800381464,2025-06-13T10.39.41.464,1.276,-32.561,28.902,0.488
1749800381473,2025-06-13T10.39.41.473,1.285,-43.354,30.183,3.537
1749800381483,2025-06-13T10.39.41.483,1.295,-54.817,26.524,6.463
1749800381494,2025-06-13T10.39.41.494,1.306,-64.512,17.256,12.195
1749800381504,2025-06-13T10.39.41.504,1.316,-72.683,8.110,17.439
1749800381513,2025-06-13T10.39.41.513,1.325,-78.598,-0.854,21.585
1749800381523,2025-06-13T10.39.41.523,1.335,-82.561,-5.183,24.329
1749800381533,2025-06-13T10.39.41.533,1.345,-85.793,-1.220,21.341
1749800381543,2025-06-13T10.39.41.543,1.355,-90.610,1.707,16.280
1749800381552,2025-06-13T10.39.41.552,1.364,-95.183,1.037,15.854
1749800381562,2025-06-13T10.39.41.562,1.374,-98.232,2.805,17.378
1749800381573,2025-06-13T10.39.41.573,1.385,-97.439,4.390,18.720
1749800381583,2025-06-13T10.39.41.583,1.395,-96.280,6.220,22.805
1749800381592,2025-06-13T10.39.41.592,1.404,-93.659,8.049,27.988
1749800381602,2025-06-13T10.39.41.602,1.414,-88.537,8.659,30.427
1749800381612,2025-06-13T10.39.41.612,1.424,-82.561,9.634,31.646
1749800381622,2025-06-13T10.39.41.622,1.434,-76.037,10.976,31.341
1749800381631,2025-06-13T10.39.41.631,1.443,-70.183,14.024,27.927
1749800381641,2025-06-13T10.39.41.641,1.453,-65.610,15.732,25.488
1749800381652,2025-06-13T10.39.41.652,1.464,-62.744,16.402,26.829
1749800381662,2025-06-13T10.39.41.662,1.474,-57.866,17.012,29.878
1749800381671,2025-06-13T10.39.41.671,1.483,-53.963,18.171,33.780
1749800381681,2025-06-13T10.39.41.681,1.493,-52.378,17.378,36.951
