epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749649056787,2025-06-11T16.37.36.787,0.000,217.439,-67.378,-17.195
1749649056797,2025-06-11T16.37.36.797,0.010,214.451,-65.732,-17.195
1749649056807,2025-06-11T16.37.36.807,0.020,200.976,-59.146,-13.415
1749649056816,2025-06-11T16.37.36.816,0.029,183.963,-51.159,-8.598
1749649056826,2025-06-11T16.37.36.826,0.039,168.110,-45.732,-5.488
1749649056836,2025-06-11T16.37.36.836,0.049,151.098,-45.610,-1.829
1749649056847,2025-06-11T16.37.36.847,0.060,134.512,-52.195,2.805
1749649056855,2025-06-11T16.37.36.855,0.068,120.793,-62.256,6.037
1749649056866,2025-06-11T16.37.36.866,0.079,107.805,-71.341,6.280
1749649056876,2025-06-11T16.37.36.876,0.089,95.000,-75.854,6.524
1749649056886,2025-06-11T16.37.36.886,0.099,82.256,-72.134,7.256
1749649056895,2025-06-11T16.37.36.895,0.108,67.561,-65.915,5.427
1749649056905,2025-06-11T16.37.36.905,0.118,54.512,-61.524,1.951
1749649056915,2025-06-11T16.37.36.915,0.128,44.451,-57.744,-2.073
1749649056926,2025-06-11T16.37.36.926,0.139,35.427,-54.573,-6.402
1749649056934,2025-06-11T16.37.36.934,0.147,25.122,-51.098,-10.183
1749649056945,2025-06-11T16.37.36.945,0.158,15.610,-48.598,-13.841
1749649056955,2025-06-11T16.37.36.955,0.168,7.012,-46.829,-17.317
1749649056965,2025-06-11T16.37.36.965,0.178,-0.244,-43.598,-20.000
1749649056974,2025-06-11T16.37.36.974,0.187,-6.829,-38.780,-21.341
1749649056984,2025-06-11T16.37.36.984,0.197,-13.293,-34.085,-21.463
1749649056995,2025-06-11T16.37.36.995,0.208,-21.646,-29.451,-21.280
1749649057005,2025-06-11T16.37.37.005,0.218,-31.524,-24.756,-21.341
1749649057014,2025-06-11T16.37.37.014,0.227,-41.098,-18.171,-20.793
1749649057024,2025-06-11T16.37.37.024,0.237,-49.207,-9.756,-19.512
1749649057034,2025-06-11T16.37.37.034,0.247,-55.732,-1.768,-20.366
1749649057044,2025-06-11T16.37.37.044,0.257,-62.317,5.427,-22.805
1749649057053,2025-06-11T16.37.37.053,0.266,-68.354,14.024,-25.671
1749649057063,2025-06-11T16.37.37.063,0.276,-72.317,21.037,-30.061
1749649057074,2025-06-11T16.37.37.074,0.287,-75.549,25.061,-34.329
1749649057084,2025-06-11T16.37.37.084,0.297,-78.354,29.451,-37.317
1749649057093,2025-06-11T16.37.37.093,0.306,-80.000,32.927,-41.402
1749649057103,2025-06-11T16.37.37.103,0.316,-80.427,34.024,-46.829
1749649057113,2025-06-11T16.37.37.113,0.326,-80.549,37.378,-50.488
1749649057123,2025-06-11T16.37.37.123,0.336,-80.366,44.878,-53.232
1749649057132,2025-06-11T16.37.37.132,0.345,-81.220,53.780,-58.476
1749649057142,2025-06-11T16.37.37.142,0.355,-83.293,61.220,-64.634
1749649057153,2025-06-11T16.37.37.153,0.366,-86.707,67.683,-68.780
1749649057163,2025-06-11T16.37.37.163,0.376,-91.037,70.915,-72.500
1749649057172,2025-06-11T16.37.37.172,0.385,-93.171,69.817,-77.683
1749649057182,2025-06-11T16.37.37.182,0.395,-89.878,69.573,-82.439
1749649057192,2025-06-11T16.37.37.192,0.405,-82.439,72.988,-86.159
1749649057203,2025-06-11T16.37.37.203,0.416,-73.841,77.927,-90.061
1749649057211,2025-06-11T16.37.37.211,0.424,-65.793,84.329,-94.817
1749649057222,2025-06-11T16.37.37.222,0.435,-63.537,90.732,-101.768
1749649057232,2025-06-11T16.37.37.232,0.445,-69.939,92.683,-107.866
1749649057242,2025-06-11T16.37.37.242,0.455,-76.768,90.366,-108.293
1749649057251,2025-06-11T16.37.37.251,0.464,-78.232,86.463,-106.098
1749649057261,2025-06-11T16.37.37.261,0.474,-76.524,78.476,-103.780
1749649057271,2025-06-11T16.37.37.271,0.484,-73.963,69.146,-101.341
1749649057282,2025-06-11T16.37.37.282,0.495,-74.756,65.854,-98.415
1749649057290,2025-06-11T16.37.37.290,0.503,-77.073,69.268,-95.549
1749649057301,2025-06-11T16.37.37.301,0.514,-76.890,75.244,-94.634
1749649057311,2025-06-11T16.37.37.311,0.524,-77.683,80.610,-93.537
1749649057321,2025-06-11T16.37.37.321,0.534,-81.829,83.232,-88.841
1749649057330,2025-06-11T16.37.37.330,0.543,-87.195,77.988,-81.646
1749649057340,2025-06-11T16.37.37.340,0.553,-89.878,62.805,-74.939
1749649057350,2025-06-11T16.37.37.350,0.563,-87.744,41.280,-69.390
1749649057361,2025-06-11T16.37.37.361,0.574,-79.695,21.524,-63.598
1749649057370,2025-06-11T16.37.37.370,0.583,-70.610,10.610,-56.280
1749649057380,2025-06-11T16.37.37.380,0.593,-66.159,10.610,-48.537
1749649057390,2025-06-11T16.37.37.390,0.603,-63.963,15.793,-39.512
1749649057400,2025-06-11T16.37.37.400,0.613,-59.390,17.622,-31.098
1749649057409,2025-06-11T16.37.37.409,0.622,-50.000,13.415,-23.720
1749649057419,2025-06-11T16.37.37.419,0.632,-37.866,5.122,-16.829
1749649057430,2025-06-11T16.37.37.430,0.643,-25.671,-4.390,-9.512
1749649057440,2025-06-11T16.37.37.440,0.653,-13.171,-12.561,-2.378
1749649057449,2025-06-11T16.37.37.449,0.662,0.061,-19.390,3.780
1749649057459,2025-06-11T16.37.37.459,0.672,12.378,-25.305,9.146
1749649057469,2025-06-11T16.37.37.469,0.682,23.720,-29.390,14.695
1749649057479,2025-06-11T16.37.37.479,0.692,35.305,-31.951,20.976
1749649057488,2025-06-11T16.37.37.488,0.701,46.037,-34.695,26.951
1749649057498,2025-06-11T16.37.37.498,0.711,54.512,-38.415,31.341
1749649057509,2025-06-11T16.37.37.509,0.722,62.500,-42.988,34.878
1749649057519,2025-06-11T16.37.37.519,0.732,70.427,-47.256,38.476
1749649057528,2025-06-11T16.37.37.528,0.741,77.927,-49.817,41.220
1749649057538,2025-06-11T16.37.37.538,0.751,84.085,-50.671,42.866
1749649057548,2025-06-11T16.37.37.548,0.761,89.146,-51.463,43.780
1749649057558,2025-06-11T16.37.37.558,0.771,93.232,-55.061,45.488
1749649057567,2025-06-11T16.37.37.567,0.780,96.951,-62.378,48.171
1749649057578,2025-06-11T16.37.37.578,0.791,100.732,-70.610,50.122
1749649057588,2025-06-11T16.37.37.588,0.801,103.415,-76.890,52.134
1749649057598,2025-06-11T16.37.37.598,0.811,104.268,-78.171,54.329
1749649057607,2025-06-11T16.37.37.607,0.820,105.732,-74.878,54.756
1749649057617,2025-06-11T16.37.37.617,0.830,108.598,-72.744,54.451
1749649057627,2025-06-11T16.37.37.627,0.840,111.098,-73.720,55.549
1749649057638,2025-06-11T16.37.37.638,0.851,113.720,-74.695,56.524
1749649057646,2025-06-11T16.37.37.646,0.859,115.671,-75.061,56.159
1749649057657,2025-06-11T16.37.37.657,0.870,117.256,-76.585,55.610
1749649057667,2025-06-11T16.37.37.667,0.880,119.207,-79.146,55.488
1749649057677,2025-06-11T16.37.37.677,0.890,120.610,-79.146,55.183
1749649057686,2025-06-11T16.37.37.686,0.899,120.305,-76.707,54.390
1749649057696,2025-06-11T16.37.37.696,0.909,119.512,-73.415,53.963
1749649057706,2025-06-11T16.37.37.706,0.919,119.634,-70.915,52.805
1749649057717,2025-06-11T16.37.37.717,0.930,118.963,-70.366,50.488
1749649057725,2025-06-11T16.37.37.725,0.938,117.805,-70.122,48.049
1749649057736,2025-06-11T16.37.37.736,0.949,117.073,-68.476,45.793
1749649057746,2025-06-11T16.37.37.746,0.959,116.280,-65.427,43.354
1749649057756,2025-06-11T16.37.37.756,0.969,115.000,-63.110,41.646
1749649057765,2025-06-11T16.37.37.765,0.978,113.537,-62.195,40.061
1749649057775,2025-06-11T16.37.37.775,0.988,109.268,-61.463,36.890
1749649057786,2025-06-11T16.37.37.786,0.999,102.866,-60.183,33.963
1749649057796,2025-06-11T16.37.37.796,1.009,97.683,-58.415,32.622
1749649057805,2025-06-11T16.37.37.805,1.018,93.780,-56.341,30.000
1749649057815,2025-06-11T16.37.37.815,1.028,90.671,-53.232,24.634
1749649057825,2025-06-11T16.37.37.825,1.038,86.707,-48.232,19.695
1749649057835,2025-06-11T16.37.37.835,1.048,80.488,-42.378,16.585
1749649057844,2025-06-11T16.37.37.844,1.057,74.024,-38.963,13.354
1749649057854,2025-06-11T16.37.37.854,1.067,67.927,-38.049,9.756
1749649057865,2025-06-11T16.37.37.865,1.078,62.805,-37.012,5.854
1749649057875,2025-06-11T16.37.37.875,1.088,58.780,-35.244,2.378
1749649057884,2025-06-11T16.37.37.884,1.097,54.756,-32.073,-0.244
1749649057894,2025-06-11T16.37.37.894,1.107,49.146,-26.951,-3.476
1749649057904,2025-06-11T16.37.37.904,1.117,43.354,-20.793,-7.561
1749649057914,2025-06-11T16.37.37.914,1.127,37.683,-15.244,-11.402
1749649057923,2025-06-11T16.37.37.923,1.136,31.646,-12.744,-15.366
1749649057933,2025-06-11T16.37.37.933,1.146,26.037,-12.927,-19.085
1749649057944,2025-06-11T16.37.37.944,1.157,21.098,-13.110,-21.707
1749649057954,2025-06-11T16.37.37.954,1.167,15.671,-13.415,-24.268
1749649057963,2025-06-11T16.37.37.963,1.176,7.744,-14.146,-27.439
1749649057973,2025-06-11T16.37.37.973,1.186,-1.585,-13.354,-29.146
1749649057983,2025-06-11T16.37.37.983,1.196,-10.122,-8.780,-30.671
1749649057994,2025-06-11T16.37.37.994,1.207,-18.232,-0.122,-33.841
1749649058002,2025-06-11T16.37.38.002,1.215,-25.610,12.256,-37.378
1749649058013,2025-06-11T16.37.38.013,1.226,-32.073,25.488,-40.610
1749649058023,2025-06-11T16.37.38.023,1.236,-36.951,34.573,-44.207
1749649058033,2025-06-11T16.37.38.033,1.246,-39.207,38.902,-47.866
1749649058042,2025-06-11T16.37.38.042,1.255,-42.317,41.341,-51.159
1749649058052,2025-06-11T16.37.38.052,1.265,-48.537,43.354,-54.756
1749649058062,2025-06-11T16.37.38.062,1.275,-53.232,47.500,-59.756
1749649058073,2025-06-11T16.37.38.073,1.286,-51.829,54.451,-67.439
1749649058081,2025-06-11T16.37.38.081,1.294,-47.256,62.012,-77.988
1749649058092,2025-06-11T16.37.38.092,1.305,-42.744,63.476,-86.829
1749649058102,2025-06-11T16.37.38.102,1.315,-41.159,54.451,-93.537
1749649058112,2025-06-11T16.37.38.112,1.325,-45.610,39.512,-101.829
1749649058121,2025-06-11T16.37.38.121,1.334,-54.756,31.220,-108.415
1749649058131,2025-06-11T16.37.38.131,1.344,-64.024,36.951,-110.305
1749649058141,2025-06-11T16.37.38.141,1.354,-71.220,50.671,-112.134
1749649058152,2025-06-11T16.37.38.152,1.365,-71.829,61.341,-116.707
1749649058161,2025-06-11T16.37.38.161,1.374,-64.817,63.476,-122.256
1749649058171,2025-06-11T16.37.38.171,1.384,-62.012,60.976,-129.146
1749649058181,2025-06-11T16.37.38.181,1.394,-72.439,62.256,-134.512
1749649058191,2025-06-11T16.37.38.191,1.404,-86.951,67.195,-136.524
1749649058200,2025-06-11T16.37.38.200,1.413,-94.756,71.585,-137.866
1749649058210,2025-06-11T16.37.38.210,1.423,-93.598,71.707,-141.159
1749649058221,2025-06-11T16.37.38.221,1.434,-86.098,67.256,-144.939
1749649058231,2025-06-11T16.37.38.231,1.444,-83.293,61.341,-149.146
