epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749803536571,2025-06-13T11.32.16.571,0.000,42.866,6.220,39.451
1749803536579,2025-06-13T11.32.16.579,0.008,42.256,6.524,38.537
1749803536590,2025-06-13T11.32.16.590,0.019,38.476,8.963,35.732
1749803536600,2025-06-13T11.32.16.600,0.029,32.927,13.110,30.610
1749803536609,2025-06-13T11.32.16.609,0.038,27.195,18.841,23.963
1749803536619,2025-06-13T11.32.16.619,0.048,21.280,25.305,16.098
1749803536629,2025-06-13T11.32.16.629,0.058,18.049,27.073,8.659
1749803536639,2025-06-13T11.32.16.639,0.068,13.171,24.207,4.207
1749803536648,2025-06-13T11.32.16.648,0.077,8.659,29.634,1.585
1749803536658,2025-06-13T11.32.16.658,0.087,6.524,47.317,-2.866
1749803536669,2025-06-13T11.32.16.669,0.098,1.951,62.317,-7.317
1749803536679,2025-06-13T11.32.16.679,0.108,-6.707,62.683,-10.183
1749803536688,2025-06-13T11.32.16.688,0.117,-15.183,48.841,-14.146
1749803536698,2025-06-13T11.32.16.698,0.127,-20.854,28.415,-20.244
1749803536708,2025-06-13T11.32.16.708,0.137,-24.268,10.610,-25.915
1749803536718,2025-06-13T11.32.16.718,0.147,-28.902,1.829,-28.537
1749803536727,2025-06-13T11.32.16.727,0.156,-35.122,2.256,-29.939
1749803536738,2025-06-13T11.32.16.738,0.167,-41.341,5.061,-32.256
1749803536748,2025-06-13T11.32.16.748,0.177,-46.159,4.085,-33.902
1749803536758,2025-06-13T11.32.16.758,0.187,-48.963,2.561,-33.415
1749803536767,2025-06-13T11.32.16.767,0.196,-50.854,1.951,-32.561
1749803536777,2025-06-13T11.32.16.777,0.206,-54.756,0.183,-32.866
1749803536787,2025-06-13T11.32.16.787,0.216,-60.183,-0.976,-32.561
1749803536798,2025-06-13T11.32.16.798,0.227,-65.854,-1.890,-30.183
1749803536808,2025-06-13T11.32.16.808,0.237,-72.073,-3.537,-26.524
1749803536817,2025-06-13T11.32.16.817,0.246,-77.439,0.366,-23.293
1749803536827,2025-06-13T11.32.16.827,0.256,-81.159,7.683,-19.024
1749803536837,2025-06-13T11.32.16.837,0.266,-84.756,11.890,-11.220
1749803536846,2025-06-13T11.32.16.846,0.275,-86.341,19.634,-7.378
1749803536856,2025-06-13T11.32.16.856,0.285,-84.329,34.390,-11.707
1749803536866,2025-06-13T11.32.16.866,0.295,-77.561,59.207,-6.585
1749803536877,2025-06-13T11.32.16.877,0.306,-66.463,98.841,7.500
1749803536885,2025-06-13T11.32.16.885,0.314,-66.890,117.073,20.549
1749803536896,2025-06-13T11.32.16.896,0.325,-81.280,94.146,28.354
1749803536906,2025-06-13T11.32.16.906,0.335,-94.146,51.646,31.159
1749803536916,2025-06-13T11.32.16.916,0.345,-93.841,11.159,27.683
1749803536925,2025-06-13T11.32.16.925,0.354,-89.512,-25.183,28.720
1749803536935,2025-06-13T11.32.16.935,0.364,-88.902,-46.646,40.610
1749803536946,2025-06-13T11.32.16.946,0.375,-89.451,-50.488,51.768
1749803536956,2025-06-13T11.32.16.956,0.385,-87.866,-48.110,54.756
1749803536965,2025-06-13T11.32.16.965,0.394,-84.329,-45.732,57.134
1749803536975,2025-06-13T11.32.16.975,0.404,-78.963,-35.732,65.366
1749803536985,2025-06-13T11.32.16.985,0.414,-73.232,-23.659,74.024
1749803536995,2025-06-13T11.32.16.995,0.424,-67.683,-20.183,79.878
1749803537004,2025-06-13T11.32.17.004,0.433,-59.878,-19.512,84.329
1749803537014,2025-06-13T11.32.17.014,0.443,-49.329,-16.768,89.451
1749803537025,2025-06-13T11.32.17.025,0.454,-37.500,-11.280,93.720
1749803537035,2025-06-13T11.32.17.035,0.464,-22.622,-5.061,94.878
1749803537044,2025-06-13T11.32.17.044,0.473,-7.805,-5.488,97.378
1749803537054,2025-06-13T11.32.17.054,0.483,4.085,-12.927,101.646
1749803537064,2025-06-13T11.32.17.064,0.493,15.000,-21.646,103.963
1749803537074,2025-06-13T11.32.17.074,0.503,30.915,-27.622,105.854
1749803537083,2025-06-13T11.32.17.083,0.512,50.488,-30.732,110.244
1749803537093,2025-06-13T11.32.17.093,0.522,66.951,-28.720,113.841
1749803537104,2025-06-13T11.32.17.104,0.533,77.317,-23.537,118.902
1749803537114,2025-06-13T11.32.17.114,0.543,82.134,-21.402,127.500
1749803537123,2025-06-13T11.32.17.123,0.552,83.171,-24.939,135.427
1749803537133,2025-06-13T11.32.17.133,0.562,88.232,-29.939,137.744
1749803537143,2025-06-13T11.32.17.143,0.572,94.451,-28.780,140.549
1749803537154,2025-06-13T11.32.17.154,0.583,97.012,-19.695,149.024
1749803537162,2025-06-13T11.32.17.162,0.591,96.585,-5.122,158.841
1749803537173,2025-06-13T11.32.17.173,0.602,94.024,6.159,166.585
1749803537183,2025-06-13T11.32.17.183,0.612,89.207,7.805,173.354
1749803537193,2025-06-13T11.32.17.193,0.622,87.256,1.341,178.902
1749803537202,2025-06-13T11.32.17.202,0.631,88.293,-7.683,182.805
1749803537212,2025-06-13T11.32.17.212,0.641,87.866,-6.463,186.585
1749803537222,2025-06-13T11.32.17.222,0.651,84.329,9.512,187.622
1749803537233,2025-06-13T11.32.17.233,0.662,77.439,26.402,189.024
1749803537241,2025-06-13T11.32.17.241,0.670,68.293,28.598,188.110
1749803537252,2025-06-13T11.32.17.252,0.681,62.317,17.134,179.329
